customer_id,frequency_of_online_shopping,shoe_type,primary_footwear_use,shipping_preference,eligible_for_express_shipping,ip_address,first_cart_item_ts,first_purchase_ts,second_purchase_ts
1a397fa3-c8dd-4eb7-aac0-e925abc461a0,rarely,sneakers,fitness,free_ground_shipping,1.0,c88ef8e5874f1eb037b600eb6367e62bfe37f359ff38d3a306a70f73956d1c1e,2017-03-01 11:18:10.024000+00:00,,
65fb7596-8f5d-49f3-b45d-7df0af211e70,frequently,sneakers,casual_wear,free_ground_shipping,0.0,ec12bf59401a5e5772f4cbff7552dc142a82e8166363ad84e473b4b96db53120,2020-07-11 19:16:47.479000+00:00,2020-07-14 17:58:47.479000+00:00,2020-08-04 16:27:47.479000+00:00
921be970-d28f-4ea5-917c-dcc250320522,frequently,sneakers,fitness,free_ground_shipping,0.0,e970b6e29881ecd7d87fc05bfaf21e23383909dab7cf1911809cbbb8cfbcbda2,2021-04-17 08:40:34.940000+00:00,2021-04-17 19:59:34.940000+00:00,2021-06-26 02:20:34.940000+00:00
c9fb33a5-eb58-4161-b441-29e12209cd6b,frequently,boots,casual_wear,free_ground_shipping,0.0,c2d824b5c07fbd9ca08e92c32e59ac502e3d9564eb0b6234e7ae37fb6e0d1151,2019-09-18 17:47:03.360000+00:00,2019-09-24 18:13:03.360000+00:00,2019-09-24 23:44:03.360000+00:00
cbcf0bcd-304f-4eba-a8ed-3fd055afa75c,frequently,sneakers,casual_wear,free_ground_shipping,0.0,7146a3b6a7c4287eb1e170ac5b17503aa8fa67867938df46fda4897c7037a64a,2019-07-26 12:13:57.649000+00:00,2019-07-27 01:16:57.649000+00:00,2019-08-02 13:03:57.649000+00:00
01de7964-f91e-4a71-80fd-ddf151c840d7,rarely,sneakers,casual_wear,free_ground_shipping,0.0,607ecb91a773572cf6bde3e72472fd77093cad26ef4b4255e7870c932c75dd0a,2017-04-15 04:48:02.996000+00:00,,
31e4e48a-9c8f-43aa-97a4-6d1ae042fe64,sometimes,sneakers,casual_wear,doesnt_matter,0.0,737af56065e4dbc976027d8389be4a21ad062259ea993b2627570b6b78120d02,2017-03-04 15:13:23.228000+00:00,,
8e46adc6-d6aa-4960-b968-da4ab92b70d4,frequently,sneakers,casual_wear,free_ground_shipping,0.0,ee79eddf623bcf007da47a3430a165a9e2289908b605b21ef1e84a2d0d7fa3b3,2022-05-10 15:15:53.369000+00:00,2022-05-10 20:09:53.369000+00:00,2022-05-17 11:41:53.369000+00:00
5489b4ae-b9e7-4ddf-be74-0dbec32c2798,sometimes,sneakers,casual_wear,free_ground_shipping,1.0,061fa0c32ea5872c777cee9f44b1ebc4e7d0ddbe30621f5c75347839ef2fcf18,2018-09-28 23:01:20.053000+00:00,,
7b2fd053-03ca-458f-ab96-b59ce99175ad,sometimes,sneakers,casual_wear,doesnt_matter,1.0,0522c6f47ca356847e18d0297ac4901785c81c4c6061cac97b784ac8b87fd7b0,2017-10-02 17:08:56.969000+00:00,,
